Cohort Year|School|Conference|Sport|State|GSR|FGR
2012|Virginia Military Institute|Southern Conference|Football|VA|82|69
2012|Virginia Tech|Atlantic Coast Conference|Football|VA|87|72
2012|Wagner College|Northeast Conference|Football|NY|75|64
2012|Wake Forest|Atlantic Coast Conference|Football|NC|86|73
2012|Washington State|Pac-12 Conference|Football|WA|80|55
2012|Weber State|Big Sky Conference|Football|UT|70|52
2012|West Virginia|Big 12 Conference|Football|WV|66|58
2012|Western Carolina|Southern Conference|Football|NC|81|61
2012|Western Illinois|Missouri Valley Football Conference|Football|IL|78|52
2012|Western Kentucky|Conference USA|Football|KY|71|52
2012|Western Michigan|Mid-American Conference|Football|MI|80|47
2012|William & Mary|Colonial Athletic Association|Football|VA|87|82
2012|Wofford College|Southern Conference|Football|SC|92|79
2012|Yale|The Ivy League|Football|CT|100|
2012|Youngstown State|Missouri Valley Football Conference|Football|OH|65|52
